Policy,Category,Indicator,Unit,rank,score
H1_Public information campaigns,Environment,Electricity production from coal sources ,percent of total,93,0.004049166096960909
H1_Public information campaigns,Environment,Electric power consumption ,kWh per capita,94,0.003941158192135879
H1_Public information campaigns,Environment,CO2 emissions (metric tons per capita),metric tons per capita,95,0.003871118901405964
H1_Public information campaigns,Environment,CO2 emissions (kt),kt,96,0.0036758973607660143
H1_Public information campaigns,Environment,"Adjusted net savings, including particulate emission damage",percent of GNI,97,0.003455730511862375
H1_Public information campaigns,Environment,Access to electricity ,percent of population,98,0.0031006137408445497
H1_Public information campaigns,Economics,Volume of imports,percent change,99,0.002828814430001878
H1_Public information campaigns,Economics,Volume of exports,percent change,100,0.0027691832105734677
H1_Public information campaigns,Economics,Unemployment rate (%) - Annual,percent,101,0.0027595801635020675
H1_Public information campaigns,Economics,"Trade, total as % of GDP",percent,102,0.002294416500088638
H1_Public information campaigns,Environment,Energy use (kg of oil equivalent per capita),kg of oil equivalent per capita,103,0.0
H2_Testing policy,Governance,Serious assault (rate),rate,1,0.01946487316225412
H2_Testing policy,Demographics,Fixed broadband subscriptions,number,2,0.017934103982121682
H2_Testing policy,Health,"Immunization, DPT (% of children ages 12-23 months)",percent,3,0.01784147242468269
H2_Testing policy,Health,Prevalence of Depressive disorders,percent,4,0.017671055539664093
H2_Testing policy,Social issues ,Proportion of women in managerial positions (%),percent,5,0.016383084428975753
H2_Testing policy,Social issues ,Press freedom score,score,6,0.016328020464510585
H2_Testing policy,Environment,"Adjusted net savings, including particulate emission damage",percent of GNI,7,0.015952923542424786
H2_Testing policy,Demographics,Urban population (% of total population),total,8,0.015404252006989156
H2_Testing policy,Environment,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value ",percent of total,9,0.015354555605146133
H2_Testing policy,Demographics,Secure Internet servers ,per 1 million people,10,0.014858686410234233
H2_Testing policy,Social issues ,Proportion of seats held by women in national parliaments (%),proportion,11,0.014832467269727692
H2_Testing policy,Social issues ,Proportion of people living below 50 percent of median income (%),proportion,12,0.014213628134688797
H2_Testing policy,Health,Prevalence of Hypertensive heart disease,percent,13,0.014115628195534803
H2_Testing policy,Health,"Immunization, measles (% of children ages 12-23 months)",percent,14,0.014043361150071947
H2_Testing policy,Economics,Volume of exports,percent change,15,0.013970569985023168
H2_Testing policy,Social issues ,Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),proportion,16,0.01376647007605947
H2_Testing policy,Social issues ,"Literacy rate, adult total (% of people ages 15 and above)",proportion,17,0.013686793236652523
H2_Testing policy,Demographics,"Population, total",total,18,0.013260387452641298
H2_Testing policy,Social issues ,Gini index (World Bank estimate),index ,19,0.013119755429503763
H2_Testing policy,Environment,Combustible renewables and waste,percent of total energy,20,0.013096101518854462
H2_Testing policy,Governance,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",rating,21,0.013070576751216608
H2_Testing policy,Social issues ,Coverage of social safety net programs (% of population),proportion,22,0.012818150602273634
H2_Testing policy,Environment,Energy use ,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",23,0.01279947781729926
H2_Testing policy,Governance,Economic Freedom Score (Index),score,24,0.012751412471817943
H2_Testing policy,Social issues ,Net migration,net total / data are 5 year estimates,25,0.012652078686803958
H2_Testing policy,Social issues ," ""Educational attainment, at least Bachelors or equivalent, population 25+, total (%) (cumulative)"",proportion)",,26,0.012543366836785173
H2_Testing policy,Demographics,"Age dependency ratio, old (% of working-age population)",proportion,27,0.012494506461352261
H2_Testing policy,Governance,Corruption Perceptions Index,score,28,0.012425339474956528
H2_Testing policy,Demographics,"Net migration rate, per 1000 population",per thousand persons,29,0.012346005946418931
H2_Testing policy,Health,"Nurses and midwives (per 1,000 people)",Ones,30,0.012315739475911225
H2_Testing policy,Environment,CO2 emissions (kt),kt,31,0.012257762717773726
H2_Testing policy,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",percent of total labor force,32,0.012211982428803038
H2_Testing policy,Environment,"Electricity production from oil, gas and coal sources",percent of total,33,0.012210013990309701
H2_Testing policy,Environment,CO2 emissions (metric tons per capita),metric tons per capita,34,0.011643318712572666
H2_Testing policy,Health,"Prevalence of HIV, total (% of population ages 15-49)",percent,35,0.011626040920574118
H2_Testing policy,Governance,Control of corruption estimate,score,36,0.011575043406519084
H2_Testing policy,Environment,Electricity production from coal sources ,percent of total,37,0.011515093120507643
H2_Testing policy,Demographics,Age dependency ratio,percent of total population,38,0.01150947648207016
H2_Testing policy,Health,Summary exposure value tobacco,Rate (risk-weighted prevalence),39,0.011476470549215816
H2_Testing policy,Environment,Access to electricity ,percent of population,40,0.011446852199917498
H2_Testing policy,Demographics,People using at least basic sanitation services (% of population),proportion,41,0.011389841667795825
H2_Testing policy,Environment,"Energy imports, net ",percent of energy use,42,0.011370154483923733
H2_Testing policy,Economics,"Output per worker (GDP constant 2011 international $ in PPP -- ILO modelled estimates, Nov. 2019",international $ in PPP,43,0.011354920790462485
H2_Testing policy,Health,Prevalence of COVID-19,"Number (cumulative total by Dec 26,2020)",44,0.011272174674619745
H2_Testing policy,Demographics,Fixed telephone subscriptions,number,45,0.010999927254343298
H2_Testing policy,Demographics,Rural population (% of total population),proportion,46,0.010860936980942345
H2_Testing policy,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",Percentage of total population,47,0.010419439198486454
H2_Testing policy,Health,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",percent,48,0.010308675603473483
H2_Testing policy,Environment,Electricity production from nuclear sources ,percent of total,49,0.010257244227609562
H2_Testing policy,Environment,Renewable energy consumption ,percent of total final energy consumption,50,0.010219536826506616
H2_Testing policy,Economics,"Trade, total as % of GDP",percent,51,0.010130477218190301
H2_Testing policy,Demographics,Age dependency ratio (% of working-age population),proportion,52,0.010106416427617943
H2_Testing policy,Economics,Employment in services (% of total employment) (modeled ILO estimate),Percentage of total employment,53,0.00999959658493025
H2_Testing policy,Demographics,Internet users (per 100 people),per 100 population,54,0.009442633127055173
H2_Testing policy,Demographics,Refugee population by country or territory of asylum,proportion,55,0.009360130639781663
H2_Testing policy,Health,Prevalence of anxiety disorders,percent,56,0.009288576482677172
H2_Testing policy,Social issues ,Women who believe a husband is justified in beating his wife (any of five reasons) (%),proportion,57,0.00922780591281003
H2_Testing policy,Health,Prevalence of chronic kidney disease,percent,58,0.009207063440326355
H2_Testing policy,Health,Prevalence of down syndrome,percent,59,0.00909426398822884
H2_Testing policy,Health,Prevalence of obesity,percent,60,0.009033032317048582
H2_Testing policy,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",percent,61,0.009018434392989268
H2_Testing policy,Health,Prevalence of total cancers,percent,62,0.008974870368667173
H2_Testing policy,Demographics,People with basic handwashing facilities including soap and water (% of population),proportion,63,0.00886105957803916
H2_Testing policy,Social issues ,Coverage of unemployment benefits and ALMP (% of population),proportion,64,0.008674857504638466
H2_Testing policy,Social issues ,Progression to secondary school (%),proportion,65,0.008614014934077
H2_Testing policy,Demographics,People using safely managed drinking water services (% of population),proportion,66,0.0086087769677281
